Part Reference,Value,PCB Footprint,Quantity
C1 C2,22pF/50V/0402,rc0402n,2
C3 C11 C19,1uF/6.3V/0402,rc0402n,3
C4 C5 C7 C9 C12 C13 C14 C15 C20 C26,100nF/16V/0402,rc0402n,10
C6,3.3nF/25V/0402,rc0402n,1
C8,10nF/25V/0402,rc0402n,1
C10 C17 C25,10uF/6.3V/0603,rc0603,3
C16,TBD/2.4pF/0402,rc0402n,1
C18,TBD/2.2pF/0402,rc0402n,1
C21 C23 C24 C27,100nF/50V/0603,rc0603,4
C22,4.7uF/50V/1206,rc1206,1
D1,BZT52C5V1,SOD123M,1
J1,ANT,ant_bonding_wire,1
J2,PWR_EXT,pogopin_smd_10mm,1
L1,2nH/10%/500mA,rc0402n,1
L2,TBD/0R/0402,rc0402n,1
L3,TBD/2.5nH/0402,rc0402n,1
L4,4.7uH/20%/1A,L4018_3015,1
P1,TXW280047B0-RTP,fpc_0_5mm_26pin,1
Q1 Q2,AO3480,SOT95P280X105-3M,2
R1,51R/5%/0402,rc0402n,1
R2 R9 R13,20K/1%/0402,rc0402n,3
R3 R6 R7 R8 R10 R11 R12 R15,10K/5%/0402,rc0402n,8
R4,2R/1%/0603,rc0603,1
R5 R17,1K/5%/0402,rc0402n,2
R14,7.5K/1%/0402,rc0402n,1
R16,2.4K/1%/0402,rc0402n,1
U1,XPT2046,TSSOP65P640X110-16M,1
U2,ESP32-D0WD,QFN48_ESP32_5X5,1
U3,ESP-PSRAM64H,SOIC127P600X175-8M,1
U4,W25Q128,SOP127P790X195-8M,1
U5,CAT809ZTBI,SOT95P237X112-3M,1
U6,JW5026,SOT95P280X135-6M,1
X1,40MHz/+-10ppm/3225,XTAL_SMD3225,1
